file,result,candidate,base10,check_digit,status,raw_text,ocr_ms,total_ms,http_status
photo_5381896637153745099_y.jpg,HALU2079455,HALU2079455,HALU207945,5,FULL_11,HALHAL 207 945,800.893,811.585,200
photo_5381896637153745100_y.jpg,HALU2078945,HALU2078945,HALU207894,5,FULL_11,HALU 2078 945,895.967,906.905,200
photo_5381896637153745101_y.jpg,HATU2106199,HATU2106199,HATU210619,9,FULL_11,HATL 210 61939,461.2,471.94,200
photo_5381896637153745102_y.jpg,NOT_FOUND,,,,RAW_ONLY,4,6371.282,6379.896,200
photo_5381896637153745103_y.jpg,SKLU1906055,SKLU1906055,SKLU190605,5,FULL_11,SKLI 190 605,1536.671,1545.094,200
photo_5381896637153745104_y.jpg,SKLU1900600,SKLU1900600,SKLU190060,0,FULL_11,SKLI 190 0605,557.565,567.893,200
Снимок экрана 2026-04-09 023858.png,BCUU6673740,BCUU6673740,BCUU667374,0,FULL_11,ABCUT 6673740 6673740,33.465,33.963,200
